
📺 CCTV,#genre#
IPTV 205,http://192.168.123.1:4000/udp/239.253.224.205:8000
IPTV 207,http://192.168.123.1:4000/udp/239.253.224.207:8000
IPTV 208,http://192.168.123.1:4000/udp/239.253.224.208:8000
IPTV 209,http://192.168.123.1:4000/udp/239.253.224.209:8000
IPTV 210,http://192.168.123.1:4000/udp/239.253.224.210:8000
IPTV 211,http://192.168.123.1:4000/udp/239.253.224.211:8000
IPTV 212,http://192.168.123.1:4000/udp/239.253.224.212:8000
IPTV 213,http://192.168.123.1:4000/udp/239.253.224.213:8000
IPTV 214,http://192.168.123.1:4000/udp/239.253.224.214:8000
IPTV 215,http://192.168.123.1:4000/udp/239.253.224.215:8000
IPTV 216,http://192.168.123.1:4000/udp/239.253.224.216:8000
IPTV 217,http://192.168.123.1:4000/udp/239.253.224.217:8000
IPTV 218,http://192.168.123.1:4000/udp/239.253.224.218:8000
IPTV 219,http://192.168.123.1:4000/udp/239.253.224.219:8000
IPTV 220,http://192.168.123.1:4000/udp/239.253.224.220:8000
IPTV 221,http://192.168.123.1:4000/udp/239.253.224.221:8000
IPTV 222,http://192.168.123.1:4000/udp/239.253.224.222:8000
IPTV 223,http://192.168.123.1:4000/udp/239.253.224.223:8000
IPTV 224,http://192.168.123.1:4000/udp/239.253.224.224:8000
IPTV 225,http://192.168.123.1:4000/udp/239.253.224.225:8000
IPTV 226,http://192.168.123.1:4000/udp/239.253.224.226:8000
IPTV 227,http://192.168.123.1:4000/udp/239.253.224.227:8000
IPTV 228,http://192.168.123.1:4000/udp/239.253.224.228:8000
IPTV 229,http://192.168.123.1:4000/udp/239.253.224.229:8000
CGTN 西语,http://192.168.123.1:4000/udp/239.253.224.182:8000
CGTN 法语,http://192.168.123.1:4000/udp/239.253.224.183:8000
CGTN 中东,http://192.168.123.1:4000/udp/239.253.224.184:8000
CGTN 俄语,http://192.168.123.1:4000/udp/239.253.224.185:8000
CGTN 纪录,http://192.168.123.1:4000/udp/239.253.224.188:8000
CGTN,http://192.168.123.1:4000/udp/239.253.224.189:8000


📺  上海,#genre#
上海新闻综合,http://[2409:8087:7001:20:1000::88]:6610/000000001000/5000000011000031110/index.m3u8?channel-id=bestzb&Contentid=5000000011000031110&livemode=1&stbId=3
上海都市,http://[2409:8087:7001:20:1000::88]:6610/000000001000/5000000010000018926/index.m3u8?channel-id=bestzb&Contentid=5000000010000018926&livemode=1&stbId=3
上海ICS,http://[2409:8087:7001:20:1000::88]:6610/000000001000/5000000010000030951/index.m3u8?channel-id=bestzb&Contentid=5000000010000030951&livemode=1&stbId=3
七彩戏剧,http://[2409:8087:7001:20:1000::88]:6610/000000001000/5000000011000031116/index.m3u8?channel-id=bestzb&Contentid=5000000011000031116&livemode=1&stbId=3
五星体育,http://[2409:8087:7001:20:1000::88]:6610/000000001000/5000000010000017540/index.m3u8?channel-id=bestzb&Contentid=5000000010000017540&livemode=1&stbId=3
东方影视,http://[2409:8087:7001:20:1000::88]:6610/000000001000/5000000010000032212/index.m3u8?channel-id=bestzb&Contentid=5000000010000032212&livemode=1&stbId=3
金色学堂,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226994/index.m3u8
纪实人文,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226230/index.m3u8
第一财经,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226966/index.m3u8
乐游,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226580/index.m3u8
都市剧场,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226581/index.m3u8
欢笑剧场,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226582/index.m3u8
纪实科教,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226232/index.m3u8
东方财经,http://[2409:8087:7001:20:1000::88]:6610/000000001000/5000000007000010003/index.m3u8?channel-id=bestzb&Contentid=5000000007000010003&livemode=1&stbId=3
法治天地,http://[2409:8087:7001:20:1000::88]:6610/000000001000/9001547084732463424/index.m3u8?channel-id=bestzb&Contentid=9001547084732463424&livemode=1&stbId=3
第一财经,http://[2409:8087:7001:20:1000::88]:6610/000000001000/5000000010000027146/index.m3u8?channel-id=bestzb&Contentid=5000000010000027146&livemode=1&stbId=3
东方购物,http://[2409:8087:7001:20:1000::88]:6610/000000001000/5000000007000010004/index.m3u8?channel-id=bestzb&Contentid=5000000007000010004&livemode=1&stbId=3



🏮 历年春晚,#genre#
春晚2023,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8
春晚2022,http://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4
春晚2021,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.mp4
春晚2020,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzA5NDdfNDAzMDAxOTlfNjYxNzQ2MDAyMTFfMF8z_b_B5d51d9564c5670dc66faeba20aa7af3f.mp4
春晚2020,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8
春晚2019,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8
春晚2014,https://txmov2.a.kwimgs.com/bs3/video-hls/5245286283437869627_hlshd15.m3u8
春晚2009,https://txmov2.a.kwimgs.com/bs3/video-hls/5210946337266019890_hlshd15.m3u8
