📺 山东电信单播,#genre#
河北卫视,http://192.168.123.1:4000/udp/239.21.1.35:5002
江西卫视,http://192.168.123.1:4000/udp/239.21.1.36:5002
吉林卫视,http://192.168.123.1:4000/udp/239.21.1.37:5002
河南卫视,http://192.168.123.1:4000/udp/239.21.1.38:5002
广西卫视,http://192.168.123.1:4000/udp/239.21.1.39:5002
云南卫视,http://192.168.123.1:4000/udp/239.21.1.40:5002
内蒙古卫视,http://192.168.123.1:4000/udp/239.21.1.41:5002
贵州卫视,http://192.168.123.1:4000/udp/239.21.1.42:5002
青海卫视,http://192.168.123.1:4000/udp/239.21.1.43:5002
宁夏卫视,http://192.168.123.1:4000/udp/239.21.1.44:5002
新疆卫视,http://192.168.123.1:4000/udp/239.21.1.45:5002
西藏卫视,http://192.168.123.1:4000/udp/239.21.1.46:5002
甘肃卫视,http://192.168.123.1:4000/udp/239.21.1.47:5002
金鹰卡通,http://192.168.123.1:4000/udp/239.21.1.48:5002
BTV卡酷少儿,http://192.168.123.1:4000/udp/239.21.1.49:5002
优漫卡通,http://192.168.123.1:4000/udp/239.21.1.50:5002
哈哈炫动,http://192.168.123.1:4000/udp/239.21.1.51:5002
山东卫视,http://192.168.123.1:4000/udp/239.21.1.52:5002
山东齐鲁,http://192.168.123.1:4000/udp/239.21.1.53:5002
山东新闻,http://192.168.123.1:4000/udp/239.21.1.54:5002
山东综艺,http://192.168.123.1:4000/udp/239.21.1.55:5002
山东生活,http://192.168.123.1:4000/udp/239.21.1.56:5002
山东文旅,http://192.168.123.1:4000/udp/239.21.1.57:5002
山东体育,http://192.168.123.1:4000/udp/239.21.1.58:5002
山东农科,http://192.168.123.1:4000/udp/239.21.1.59:5002
山东少儿,http://192.168.123.1:4000/udp/239.21.1.60:5002
山东国际,http://192.168.123.1:4000/udp/239.21.1.61:5002
济南新闻综合,http://192.168.123.1:4000/udp/239.21.1.62:5002
济南都市,http://192.168.123.1:4000/udp/239.21.1.63:5002
济南生活,http://192.168.123.1:4000/udp/239.21.1.64:5002
济南影视,http://192.168.123.1:4000/udp/239.21.1.65:5002
济南娱乐,http://192.168.123.1:4000/udp/239.21.1.66:5002
济南商务,http://192.168.123.1:4000/udp/239.21.1.67:5002
济南少儿,http://192.168.123.1:4000/udp/239.21.1.68:5002
